X,Y,Site,Address,City,State,Type,API,Org
-121.9947844,37.55214715,Washington High,38442 Fremont Blvd,Fremont,CA,HS,776,Public
-121.9640006,37.51964565,Vista Alternative,4455 Seneca Park Ave,Fremont,CA,Small Schools,0,Public
-121.9640006,37.51964565,Robertson High (Continuation),4455 Seneca Park Ave,Fremont,CA,ASAM,0,Public
-122.0622246,37.64158472,Bowman Elementary,520 Jefferson Street,Hayward,CA,ES,759,Public
-122.09612,37.66672077,Burbank Elementary,222 Burbank Street,Hayward,CA,ES,670,Public
-122.0983234,37.67618164,Cherryland Elementary,585 Willow Avenue,Hayward,CA,ES,721,Public
-122.0548951,37.67103752,East Avenue Elementary,2424 East Ave.,Hayward,CA,ES,768,Public
-122.1072267,37.63798743,Eden Gardens Elementary,2184 Thayer Avenue,Hayward,CA,ES,723,Public
-122.0853372,37.63674637,Eldridge Elementary,26825 Eldridge Avenue,Hayward,CA,ES,772,Public
-122.0523051,37.68086711,Fairview Elementary,23515 Maud Avenue,Hayward,CA,ES,674,Public
-122.0739967,37.67634352,Faith Ringgold School of Arts and Scienc,1570 Ward Street,Hayward,CA,ES,745,Public
-122.0808495,37.64101815,Glassbrook Elementary,975 Schafer Road,Hayward,CA,ES,679,Public
-122.07227,37.65148626,Harder Elementary,495 Wyeth Road,Hayward,CA,ES,666,Public
-122.1100775,37.65896862,Longwood Elementary,850 Longwood Avenue,Hayward,CA,ES,641,Public
-122.100122,37.6242368,Lorin A. Eden Elementary,27790 Portsmouth Avenue,Hayward,CA,ES,740,Public
-122.0739967,37.67634352,Markham Elementary,1570 Ward Street,Hayward,CA,ES,671,Public
-122.0853551,37.62716859,Palma Ceia Elementary,27679 Melbourne Avenue,Hayward,CA,ES,772,Public
-122.0941145,37.65300611,Park Elementary,411 Larchmont Street,Hayward,CA,ES,680,Public
-122.0733312,37.62700671,Ruus Elementary,28027 Dickens Ave,Hayward,CA,ES,720,Public
-122.0872347,37.64290673,Schafer Park Elementary,26268 Flamingo Avenue,Hayward,CA,ES,681,Public
-122.0944473,37.6389587,Southgate Elementary,26601 Calaroga Avenue,Hayward,CA,ES,731,Public
-122.020532,37.65466086,Stonebrae Elementary,28761 Hayward Blvd,Hayward,CA,ES,802,Public
-122.0873876,37.68743216,Strobridge Elementary,21400 Bedford Drive,Hayward,CA,ES,713,Public
-122.0366479,37.6241019,Treeview Elementary,30565 Treeview St.,Hayward,CA,ES,739,Public
-122.0753457,37.63744784,Tyrrell Elementary,27000 Tyrrell Avenue,Hayward,CA,ES,718,Public
-122.1097088,37.63891374,Anthony W. Ochoa Middle,2121 Depot Road,Hayward,CA,MS,718,Public
-122.078934,37.67019216,Bret Harte Middle,1047 E Street,Hayward,CA,MS,729,Public
-122.0628631,37.63693523,Cesar Chavez Middle,27845 Whitman Street,Hayward,CA,MS,715,Public
-122.0924508,37.63461498,"Martin Luther King, Jr., Middle",26890 Holly Hill Ave.,Hayward,CA,MS,725,Public
-122.090913,37.66027263,Winton Middle,119 Winton Ave.,Hayward,CA,MS,662,Public
-122.068286,37.67235952,Hayward High,1633 East Ave.,Hayward,CA,HS,614,Public
-122.0572963,37.66172054,Impact Academy of Arts & Technology,2021 Highland Boulevard,Hayward,CA,HS,721,Public
-122.0877653,37.62415586,Leadership Public Schools - Hayward,28000 Calaroga Avenue,Hayward,CA,HS,777,Public
-122.0905173,37.62523505,Mt. Eden High,2300 Panama St.,Hayward,CA,HS,682,Public
-122.0662086,37.64264592,Tennyson High,27035 Whitman Street,Hayward,CA,HS,607,Public
-122.098863,37.6719908,Brenkwitz High,22100(A) Princeton Street,Hayward,CA,ASAM,0,Public
-121.7183148,37.72237082,Altamont Creek Elementary,6500 Garaventa Ranch Road,Livermore,CA,ES,870,Public
-121.7284502,37.68369997,Arroyo Seco Elementary,5280 Irene Way,Livermore,CA,ES,848,Public
-121.7707004,37.69090354,Don Gaspar De Portola Elementary,2451 Portola Avenue,Livermore,CA,ES,747,Public
-121.7965109,37.66717043,Emma C. Smith Elementary,391 Ontario Drive,Livermore,CA,ES,901,Public
-121.7424526,37.6852558,Jackson Avenue Elementary,554 Jackson Avenue,Livermore,CA,ES,849,Public
-121.7834977,37.66948169,Joe Michell Elementary,1001 Elaine Avenue,Livermore,CA,ES,821,Public
-121.7283333,37.71714576,Leo R. Croce Elementary,5650 Scenic Avenue,Livermore,CA,ES,867,Public
-121.7866633,37.68400574,Marylin Avenue Elementary,800 Marylin Avenue,Livermore,CA,ES,784,Public
-121.804308,37.68887107,Rancho Las Positas Elementary,401 East Jack London Bl.,Livermore,CA,ES,858,Public
-121.7735332,37.66326738,Sunset Elementary,1671 Frankfurt Way,Livermore,CA,ES,904,Public
-121.7288099,37.72640878,Andrew N. Christensen Middle,5757 Haggin Oaks Avenue,Livermore,CA,MS,822,Public
-121.7500249,37.67973396,East Avenue Middle,3951 East Avenue,Livermore,CA,MS,819,Public
-121.7669592,37.68707243,Junction Avenue Middle,298 Junction Avenue,Livermore,CA,MS,762,Public
-121.792401,37.66445448,William Mendenhall Middle,170 I EI Padro Drive,Livermore,CA,MS,858,Public
-121.789676,37.67449991,Granada High,400 Wall Street,Livermore,CA,HS,830,Public
-121.7616622,37.68059731,Livermore High,600 Maple Street,Livermore,CA,HS,764,Public
-121.7939388,37.67273724,Livermore Valley Charter Preparatory High,543 Sonoma Ave.,Livermore,CA,9 to 12,0,Public
-121.7667074,37.67882565,Del Valle Continuation High,2253 Fifth Street,Livermore,CA,ASAM,0,Public
-121.7667074,37.67882565,Phoenix High (Continuation),2253 Fifth Street,Livermore,CA,ASAM,0,Public
-121.7399795,37.67717089,Vineyard Alternative,1401 Almond Avenue,Livermore,CA,ASAM,0,Public
-122.0768296,37.59562037,Alvarado Elementary,31100 Fredi St,Union City,CA,ES,826,Public
-122.0764698,37.58609655,Cabello Student Support Center,4500 Cabello St,Union City,CA,ES,0,Public
-122.0747971,37.56690502,Delaine Eastin Elementary,34901 Eastin Dr,Union City,CA,ES,879,Public
-122.0158825,37.60192462,Guy Jr. Emanuele Elementary,100 Decoto Rd,Union City,CA,ES,771,Public
-122.0361566,37.61485972,Hillview Crest Elementary,31410 Wheelon Av,Union City,CA,ES,753,Public
-122.0716765,37.57215706,Pioneer Elementary,32737 Bel Aire St,Union City,CA,ES,854,Public
-122.0272589,37.59600708,Searles Elementary,33629 15th St,Union City,CA,ES,760,Public
-122.049688,37.60146597,Tom Kitayama Elementary,1959 Sunsprite Dr,Union City,CA,ES,840,Public
-122.0803639,37.59182523,Alvarado Middle,31604 Alvarado Bl,Union City,CA,MS,826,Public
-122.0474577,37.59017947,Cesar Chavez Middle,2801 Hop Ranch Rd,Union City,CA,MS,749,Public
-122.0259459,37.59246375,James Logan High,1800 H St,Union City,CA,HS,731,Public
-122.0287604,37.61521509,Alternative Learning Academy at Conley-C,541 Blanche St,Union City,CA,Small Schools,0,Public
-122.0288715,37.61512625,Core Learning Academy at Conley-Caraball,541 Blanche St,Union City,CA,ASAM,0,Public
-122.0252175,37.58847976,New Haven Community Day,34200 Alvarado-Niles Rd.,Union City,CA,6 to 12,0,Public
-122.0462256,37.52822518,August Schilling Elementary,36901 Spruce St,Newark,CA,ES,717,Public
-122.0317825,37.54233554,E. L. Musick Elementary,5735 Musick Avenue,Newark,CA,ES,756,Public
-122.0504075,37.54282118,H. A. Snow Elementary,6580 Mirabeau Dr,Newark,CA,ES,792,Public
-122.0422866,37.53853141,James A. Graham Elementary,36270 Cherry Street,Newark,CA,ES,746,Public
-122.0151541,37.52931336,James L. Bunker Elementary,6071 Smith St,Newark,CA,ES,843,Public
-122.0424485,37.55177842,John F. Kennedy Elementary,35430 Blackburn Dr,Newark,CA,ES,794,Public
-122.0520173,37.53581546,Lincoln Elementary,36111 Bettencourt Street,Newark,CA,ES,798,Public
-122.0224116,37.5340348,Louis Milani Elementary,37490 Birch Street,Newark,CA,ES,771,Public
-122.0369267,37.54302802,Newark Junior High,6201 Lafayette Avenue,Newark,CA,MS,756,Public
-122.0017632,37.52201086,Newark Memorial High,39375 Cedar Blvd.,Newark,CA,HS,723,Public
-122.0316746,37.54243447,Crossroads High (Alternative),5715 Musick Avenue,Newark,CA,Small Schools,0,Public
-122.039103,37.55054635,Bridgepoint High (Continuation),35753 Cedar Boulevard,Newark,CA,ASAM,0,Public
-122.0387703,37.55055535,New Beginnings Academy,35777 Cedar Boulevard,Newark,CA,ASAM,0,Public
-122.0387703,37.55055535,Progressive Academy,35777 Cedar Boulevard,Newark,CA,ASAM,0,Public
-121.9923832,37.52176805,FAME Public Charter,"39899 Balentine Dr., Ste. 335",Newark,CA,K-12,0,Public
-122.2273221,37.78231963,Achieve Academy,1700 28th Avenue,Oakland,CA,ES,788,Public
-122.1861152,37.75292978,ACORN Woodland Elementary,1025 81st Avenue,Oakland,CA,ES,782,Public
-122.2050819,37.78869582,Allendale Elementary,3670 Penniman Avenue,Oakland,CA,ES,744,Public
-122.2217463,37.77397392,ASCEND,3709 East 12th Street,Oakland,CA,ES,742,Public
-122.2374575,37.80047694,Bella Vista Elementary,1025 East 28th Street,Oakland,CA,ES,811,Public
-122.2840693,37.84482251,Berkley Maynard Academy,6200 San Pablo Avenue,Emeryville,CA,ES,817,Public
-122.2066377,37.76781356,Bridges Academy,1325 53rd Avenue,Oakland,CA,ES,730,Public
-122.1890919,37.73478146,Brookfield Elementary,401 Jones Avenue,Oakland,CA,ES,707,Public
-122.1667528,37.77549377,Burckhalter Elementary,3994 Burckhalter Avenue,Oakland,CA,ES,790,Public
-122.1741452,37.79466732,Carl B. Munck Elementary,11900 Campus Drive,Oakland,CA,ES,798,Public
-122.243384,37.85033535,Chabot Elementary,6686 Chabot Road,Oakland,CA,ES,932,Public
-122.2440315,37.80427208,Cleveland Elementary,745 Cleveland Street,Oakland,CA,ES,886,Public
-122.1919248,37.76134744,Community United Elementary,6701 International Boulevard,Oakland,CA,ES,577,Public
-122.2277448,37.81139471,Crocker Highlands Elementary,525 Midcrest Road,Oakland,CA,ES,898,Public
-122.2840154,37.84720571,East Bay Conservation Corps Charter,1086 Alcatraz Avenue,Oakland,CA,ES,757,Public
-122.174361,37.75910812,East Oakland Pride Elementary,8000 Birch Street,Oakland,CA,ES,657,Public
-122.1617346,37.74655359,Education for Change at Cox Elementary,9860 Sunnyside Street,Oakland,CA,ES,665,Public
-122.2574044,37.83465117,Emerson Elementary,4803 Lawton Avenue,Oakland,CA,ES,725,Public
-122.1861152,37.75292978,EnCompass Academy Elementary,1025 81st Avenue,Oakland,CA,ES,733,Public
-122.1736506,37.73746144,Esperanza Elementary,10315 E. Street,Oakland,CA,ES,704,Public
-122.248654,37.79391189,Franklin Elementary,915 Foothill Boulevard,Oakland,CA,ES,814,Public
-122.1736506,37.73746144,Fred T. Korematsu Discovery Academy,10315 E. Street,Oakland,CA,ES,641,Public
-122.2139762,37.79620516,Fruitvale Elementary,3200 Boston Avenue,Oakland,CA,ES,739,Public
-122.1919248,37.76134744,Futures Elementary,6701 International Boulevard,Oakland,CA,ES,701,Public
-122.2357038,37.78662738,Garfield Elementary,1640 22nd Avenue,Oakland,CA,ES,693,Public
-122.2188145,37.80571999,Glenview Elementary,4215 La Cresta Avenue,Oakland,CA,ES,835,Public
-122.2133287,37.77941482,Global Family,2035 40th Avenue,Oakland,CA,ES,582,Public
-122.1258426,37.75292079,Grass Valley Elementary,4720 Dunkirk Avenue,Oakland,CA,ES,824,Public
-122.1947667,37.7644411,Greenleaf Elementary,6328 East 17th Street,Oakland,CA,ES,777,Public
-122.2328799,37.84052375,Hillcrest Elementary,30 Marguerite Drive,Oakland,CA,ES,957,Public
-122.2754179,37.82331972,Hoover Elementary,890 Brockhurst Street,Oakland,CA,ES,672,Public
-122.2024559,37.77363218,Horace Mann Elementary,5222 Ygnacio Avenue,Oakland,CA,ES,761,Public
-122.1514643,37.76209387,Howard Elementary,8755 Fontaine Street,Oakland,CA,ES,731,Public
-122.2112422,37.77530491,Huerta (Dolores) Learning Academy,1941 High Street,Oakland,CA,ES,597,Public
-122.230155,37.7797026,International Community,2825 International Blvd,Oakland,CA,ES,746,Public
-122.2133287,37.77941482,Jefferson Elementary,2035 40th Ave.,Oakland,CA,ES,607,Public
-122.2018893,37.8185623,Joaquin Miller Elementary,5525 Ascot Drive,Oakland,CA,ES,886,Public
-122.2319177,37.8530513,Kaiser Elementary,25 South Hill Court,Oakland,CA,ES,864,Public
-122.2573055,37.79580046,La Escuelita Elementary,1100 3rd Avenue,Oakland,CA,ES,813,Public
-122.2798066,37.8103425,Lafayette Elementary,1700 Market Street,Oakland,CA,ES,664,Public
-122.2483573,37.81101699,Lakeview Elementary,746 Grand Avenue,Oakland,CA,ES,760,Public
-122.1964034,37.79303954,Laurel Elementary,3750 Brown Avenue,Oakland,CA,ES,802,Public
-122.2317917,37.7762582,Lazear Elementary,824 29th Avenue,Oakland,CA,ES,709,Public
-122.2133287,37.77941482,Learning Without Limits,2035 40th Avenue,Oakland,CA,ES,718,Public
-122.1965383,37.73702977,Lighthouse Community Charter,444 Hegenberger Rd.,Oakland,CA,ES,763,Public
-122.2671981,37.80003627,Lincoln Elementary,225 11th Street,Oakland,CA,ES,933,Public
-122.2241025,37.79214922,Manzanita Community,2409 East 27th Street,Oakland,CA,ES,672,Public
-122.2241025,37.79214922,Manzanita SEED,2409 East 27th Street,Oakland,CA,ES,736,Public
-122.1787497,37.76539439,Markham Elementary,7220 Krause Avenue,Oakland,CA,ES,713,Public
-122.1414908,37.74662553,Marshall Elementary,3400 Malcolm Avenue,Oakland,CA,ES,720,Public
-122.2829542,37.80580992,"Martin Luther King, Jr. Elementary",960 10th Street,Oakland,CA,ES,0,Public
-122.1970509,37.77972059,Maxwell Park Elementary,4730 Fleming Avenue,Oakland,CA,ES,665,Public
-122.1709256,37.76153629,Millsmont Academy,8030 Atherton Street,Oakland,CA,ES,783,Public
-122.1683806,37.74238073,Monarch Academy,1445 101st Ave,Oakland,CA,ES,774,Public
-122.212897,37.8310359,Montclair Elementary,1757 Mountain Boulevard,Oakland,CA,ES,957,Public
-122.1789656,37.7522373,New Highland Academy,8521 A Street,Oakland,CA,ES,687,Public
-122.1657006,37.76561022,Parker Elementary,7929 Ney Avenue,Oakland,CA,ES,765,Public
-122.2589333,37.84908529,Peralta Elementary,460 63rd Street,Oakland,CA,ES,892,Public
-122.248717,37.82901243,Piedmont Avenue Elementary,4314 Piedmont Avenue,Oakland,CA,ES,744,Public
-122.2980178,37.80832802,Preparatory Literary Academy of Cultural (PLACE),920 Campbell Street,Oakland,CA,ES,652,Public
-122.1617346,37.74655359,Reach Academy,9860 Sunnyside Street,Oakland,CA,ES,596,Public
-122.186331,37.79714045,Redwood Heights Elementary,4401 39th Avenue,Oakland,CA,ES,923,Public
-122.1635422,37.76089778,Reems (Ernestine C.) Academy of Technolo,8425 MacArthur Blvd,Oakland,CA,ES,722,Public
-122.1789656,37.7522373,Rise Community,8521A Street,Oakland,CA,ES,646,Public
-122.2756337,37.83849128,Santa Fe Elementary,915 54th Street,Oakland,CA,ES,686,Public
-122.2113412,37.8022576,Sequoia Elementary,3730 Lincoln Avenue,Oakland,CA,ES,813,Public
-122.1773468,37.72794662,Sobrante Park Elementary,470 El Paseo Drive,Oakland,CA,ES,754,Public
-122.230155,37.7797026,Think College Now,2825 International Boulevard,Oakland,CA,ES,848,Public
-122.2114311,37.83616204,Thornhill Elementary,5880 Thornhill Drive,Oakland,CA,ES,944,Public
-122.2273221,37.78231963,World Academy,1700 28th Ave,Oakland,CA,ES,759,Public
-122.1660513,37.74629279,Alliance Academy,1800 98th Avenue,Oakland,CA,MS,629,Public
-122.199596,37.79347122,American Indian Public Charter,3637 Magee Ave,Oakland,CA,MS,977,Public
-122.2652825,37.8001352,American Indian Public Charter School II,171 12th Street,Oakland,CA,MS,933,Public
-122.1709256,37.76153629,Aspire Millsmont Secondary Academy,8030 Atherton Street,Oakland,CA,MS,666,Public
-122.2602913,37.83352702,Bay Area Technology,4521 Webster St.,Oakland,CA,MS,658,Public
-122.2064399,37.8005219,Bret Harte Middle,3700 Coolidge Avenue,Oakland,CA,MS,670,Public
-122.2517387,37.8457578,Claremont Middle,5750 College Avenue,Oakland,CA,MS,703,Public
-122.1933547,37.76188703,Coliseum College Prep Academy,1390 66th Avenue,Oakland,CA,MS,591,Public
-122.2293546,37.80381342,Edna Brewer Middle,3748 13th Avenue,Oakland,CA,MS,822,Public
-122.1660513,37.74629279,Elmhurst Community Prep,1800 98th Avenue,Oakland,CA,MS,647,Public
-122.1774277,37.77561968,Explore Middle,3550 64th Avenue,Oakland,CA,MS,552,Public
-122.1774277,37.77561968,Frick Middle,3550 64th Avenue,Oakland,CA,MS,597,Public
-122.2827473,37.80864278,KIPP Bridge Charter,991 14th Street,Oakland,CA,MS,789,Public
-122.1790915,37.72781172,Madison Middle,400 Capistrano Drive,Oakland,CA,MS,674,Public
-122.1901981,37.77859643,Melrose Leadership Academy,5328 Brann Street,Oakland,CA,MS,658,Public
-122.1901981,37.77859643,Montera Middle,5328 Brann Street,Oakland,CA,MS,814,Public
